列表_车名,列表_价格(万),列表_里程(万公里),列表_上牌时间,车辆ID,经销商ID,城市,页码,详情URL,车辆名称,价格(万),表显里程,上牌时间,挡位排量,车辆所在地,档案_上牌时间,档案_表显里程,变速箱,排放标准,排量,发布时间,年检到期,保险到期,质保到期,过户次数,档案_所在地,发动机,车辆级别,车身颜色,燃油标号,驱动方式,留言信息,留言_车辆名称,留言_驱动方式,留言_颜色,留言_出厂时间,留言_交强日期,留言_行驶里程,留言_车辆排量,留言_车辆状态,留言_钥匙,留言_车况,留言_车辆配置
途观L 2022款 330TSI 自动两驱R-Line旗舰版,11.68,6,2021/11,53944067,619480,郑州,1,https://www.che168.com/dealer/619480/53944067.html,途观L 2022款 330TSI 自动两驱R-Line旗舰版,¥11.68,6万公里,2021年11月,自动 / 2L,郑州,2021年11月,6万公里,,国VI,,2025-05-25,2025-11,2025-11,-,0次（以车辆登记证为准）,,,中型SUV,黑色,95号,前置前驱,车况描述：该车无事故无泡水与火烧，支持第三方检测，适合家庭代步，动力强劲，视野开阔，空间大，外观拉风。内饰无论从视觉还是触觉都非常完美，性价比超高。我们向您承诺  1、选车：大量优质资源，根据您的需求，向您推荐较好较合适的车源；2、车况：专业售前检测，专业评估师把关，呈现真实的车况；3、价格：大数据精准公平定价，明码实价，具体车辆信息以车辆车况为准,,,,,,,,,,,
宝马7系 2023款 740Li 领先型 豪华套装,67.8,2.64,2024/06,54986580,152372,郑州,1,https://www.che168.com/dealer/152372/54986580.html,,¥67.80,2.64万公里,2024年06月,自动 / 3L,郑州,2024年06月,2.64万公里,,国VI,,2025-06-05,2026-6,2025-6,-,0次（以车辆登记证为准）,,,大型车,黑色,95号,前置后驱,详情致电客服，预约专属顾问，享成交好礼！,,,,,,,,,,,
奔驰GLS 2024款 GLS 450 4MATIC 动感型,95.8,0.6,2025/02,54949472,152372,郑州,1,https://www.che168.com/dealer/152372/54949472.html,奔驰GLS 2024款 GLS 450 4MATIC 动感型,¥95.80,0.6万公里,2025年02月,自动 / 3L,郑州,2025年02月,0.6万公里,,国VI,,2025-06-02,2027-02,2026-02,-,0次（以车辆登记证为准）,,,大型SUV,绿色,95号,前置四驱,详情致电客服，预约专属顾问，享成交好礼！,,,,,,,,,,,
探岳 2019款 380TSI 四驱R-Line 国VI,10.58,7.2,2019/08,54991136,610666,郑州,1,https://www.che168.com/dealer/610666/54991136.html,,万,7.2万公里,2019年08月,自动 / 2L,郑州,2019年08月,7.2万公里,,国VI,,2025-06-06,2025-08,2025-08,-,0次（以车辆登记证为准）,,,中型SUV,白色,95号,前置四驱,"原版原漆。外观：漆面保养良好，车身结构无修复，无重大事故。 内饰：干净整洁。安全指示灯正常，气囊等被动安全项正常，车辆内电子器件使用良好， 车内静态动态设备完善。 驾驶：车辆点火、起步、提速、过弯、减速、制动均无问题，加速迅猛，动力输出平稳舒 适,无怠速抖动。 整体：整体车况一般。车体骨架结构无变形扭曲、无火烧泡水痕迹。车身有喷漆痕迹，整体漆面良好，排除大事故车辆。视野宽阔，练手选择，空间宽敞明亮通风性好，适合家庭代步车。",,,,,,,,,,,
途观L 2023款 改款 380TSI 自动四驱R-Line旗舰版7座,18.6,4.4,2023/03,54773425,382289,郑州,1,https://www.che168.com/dealer/382289/54773425.html,途观L 2023款 改款 380TSI 自动四驱R-Line旗舰版7座,¥18.60,4.4万公里,2023年03月,自动 / 2L,郑州,2023年03月,4.4万公里,,国VI,,2025-05-16,2027-03,2026-03,-,0次（以车辆登记证为准）,,,中型SUV,白色,95号,前置四驱,这辆途观L 2023款 改款 380TSI 自动四驱R-Line旗舰版7座，首次上牌时间是2023年3月，目前表显里程为4.4万公里。外观方面，原版原漆，看起来非常新。内饰整洁，座椅柔软舒适。发动机和变速箱运转良好，车况极佳。亮点配置包括并线辅助、车道保持辅助系统、主动刹车等，安全性能出色。个人一手车，全程4S店保养，支持第三方检测。欢迎到店看车！,,,,,,,,,,,
途观L 2022款 330TSI 自动两驱R-Line越享版,11.9,5.8,2021/08,55053034,428218,郑州,1,https://www.che168.com/dealer/428218/55053034.html,途观L 2022款 330TSI 自动两驱R-Line越享版,¥11.90,5.8万公里,2021年08月,自动 / 2L,郑州,2021年08月,5.8万公里,,国VI,,2025-06-11,2025-08,2025-08,-,1次（以车辆登记证为准）,,,中型SUV,白色,95号,前置前驱,二手车本身就是一个比较特殊的行业，建立信任很困难，我们也是卖一台车交个朋友，做口碑传播，金杯银杯不如老百姓口碑，我们每个月卖车200多台，其中有三分一的都是老客户复购或介绍，我们做的就是把车况弄的一清二楚，每台车都有第三方检测报告，提供维保记录及是否有出险的信息，后还要现场读表（真实公里数），让您买一台放心车安全车。,,,,,,,,,,,
奥迪Q5L 2018款 40 TFSI 荣享时尚型 国VI,16.2,6.3,2019/08,54956043,428218,郑州,1,https://www.che168.com/dealer/428218/54956043.html,奥迪Q5L 2018款 40 TFSI 荣享时尚型 国VI,万,6.3万公里,2019年08月,自动 / 2L,郑州,2019年08月,6.3万公里,,国VI,,2025-06-08,2025-08,2025-08,-,0次（以车辆登记证为准）,,,中型SUV,白色,95号,前置四驱,郑州启源名车，本店以信誉求发展，只做精品，所有出售车辆，都附有第三方检测报告，全车经过一百多项全面检测，支持90天回购保障，所有车源，车况百分百属实，支持分期，一成首付、底利息、60期等金融服务，旧车置换等，我们做到透明买透明卖，看上哪款车欢迎致电，温馨提示：展厅客流量大，车辆可能随时售出，到店看车前，务必提前联系我们。,,,,,,,,,,,
捷途旅行者 2023款 2.0T 四驱征服PRO,10.98,2.3,2024/04,54979630,646484,郑州,1,https://www.che168.com/dealer/646484/54979630.html,捷途旅行者 2023款 2.0T 四驱征服PRO,万,2.3万公里,2024年04月,自动 / 2L,郑州,2024年04月,2.3万公里,,国VI,,2025-06-05,2026-04,2026-04,-,1次（以车辆登记证为准）,,,紧凑型SUV,银/灰色,92号,前置四驱,一手车，无重大事故，无泡水，支持分期！,,,,,,,,,,,
迈腾 2023款 200万辆纪念版 330TSI DSG豪华型,15.68,0.6,2024/05,54990836,330959,郑州,1,https://www.che168.com/dealer/330959/54990836.html,,￥15.68,0.6万公里,2024年05月,自动 / 2L,郑州,2024年05月,0.6万公里,,国VI,,2025-06-07,2026-05,2026-05,-,0次（以车辆登记证为准）,,,中型车,黑色,95号,前置前驱,您找咱们买车时，我们提供以下保障1．透明车况，提供每台车的保险记录，保养记录，读表记录和第三方检测报告；2．透明价格，拒绝套路，支持全网比价；3．精选优质车源，展厅精选5年8万公里以内的车况良好，整备完善的精选车源4．售后保障，可以提供一年三万公里的质保，事故水泡火烧终身回购；5．按揭无套路，不收手续费，抵押费，主做银行低息产品。首付1成起，可做5年期；您找我们卖车时，我们提供以下服务1．免费评估，发送基本车源信息，可以提供免费的线上报价，车况无出入，无套路不砍价收购2．高价收车，没有平台中间商赚差价，直接卖给终端零售车商，欢迎对比以后再来找我们评估3．极速打款，车况确认签订协议之后，10分钟直接可以收到车款。,,,,,,,,,,,
途观L 2021款 380TSI 自动四驱R-Line越享版7座,16.39,5.3,2021/01,55013800,409507,郑州,1,https://www.che168.com/dealer/409507/55013800.html,途观L 2021款 380TSI 自动四驱R-Line越享版7座,¥16.39,5.3万公里,2021年01月,自动 / 2L,郑州,2021年01月,5.3万公里,,国VI,,2025-06-08,2027-01,2026-01,-,1次（以车辆登记证为准）,,,中型SUV,银/灰色,95号,前置四驱,这辆途观L 2021款 380TSI 自动四驱R-Line越享版7座，首次上牌时间是2021年1月，目前表显里程为5.3万公里。配置方面，它拥有ISOFIX儿童座椅接口、自动驻车、自动泊车入位、电动后备厢等实用功能。此外，还有无钥匙启动系统、方向盘换挡、全液晶仪表盘等高科技配置。车况方面，外观保持得不错，内饰也相当整洁。欢迎到店亲自看车，了解更多细节！,,,,,,,,,,,
途观L 2022款 380TSI 自动四驱R-Line旗舰版7座,21.59,2.9,2021/08,54941427,409507,郑州,1,https://www.che168.com/dealer/409507/54941427.html,途观L 2022款 380TSI 自动四驱R-Line旗舰版7座,¥21.59,2.9万公里,2021年08月,自动 / 2L,郑州,2021年08月,2.9万公里,,国VI,,2025-06-01,2025-08,2025-08,-,1次（以车辆登记证为准）,,,中型SUV,红/紫色,95号,前置四驱,这辆途观L 2022款 380TSI 自动四驱R-Line旗舰版7座，首次上牌时间是2021年8月，目前表显里程为2.9万公里。外观保持原版原漆，车况良好。配置方面，它拥有并线辅助、车道保持辅助系统、主动刹车等多项安全配置，还有自动泊车、电动后备厢等便捷功能。车内配备全液晶仪表盘、蓝牙电话和车联网等高科技配置。后排独立空调和车内PM2.5过滤装置也提升了乘坐舒适度。欢迎到店看车，亲自体验一下吧！,,,,,,,,,,,
